层级,文件,变量名,类型,默认值,必填,描述,备注
Deployment,deployment/variables.tf,usecase,string,无,是,Use case name (used in resource names). No spaces allowed.,资源命名前缀段1
Deployment,deployment/variables.tf,site,string,无,是,Site abbreviation (used in resource names). No spaces allowed.,资源命名前缀段2
Deployment,deployment/variables.tf,environment,string,无,是,dev/qa/prod (used in tags),资源命名前缀段3
Deployment,deployment/variables.tf,project,string,无,是,Project name (used in tags),"组成 prefix = {usecase}-{site}-{environment}"
Deployment,deployment/variables.tf,tags,map(string),无,是,Tags to be added to the resources.,全局资源标签
Deployment,deployment/variables.tf,region,string,无,是,AWS region,部署区域
Deployment,deployment/variables.tf,role_arn,string,无,是,AWS IAM deploy role ARN.,AssumeRole 跨账号部署
Deployment,deployment/variables.tf,github_repo,string,无,是,GitHub Repo name,CI/CD 用
Deployment,deployment/variables.tf,ecr_repo_url,string,无,是,ECR base / prefix repo name,镜像仓库地址
Deployment,deployment/variables.tf,image_tag,number,无,是,ECR container image tag to deploy,镜像版本号（整数）
Deployment,deployment/variables.tf,secret_id,string,无,是,Secret ID containing AzureAD client id and secret,AzureAD OIDC 凭证
Deployment,deployment/variables.tf,r53_public_hosted_zone,string,无,是,Public hosted zone (e.g. ds.bayer.int.com),Route53 域名
Deployment,deployment/variables.tf,r53_ns_delegation,map(list(string)),{},否,NS delegation for multi-account DNS,多账号 DNS 委托
Deployment,deployment/variables.tf,subdomain,string,"""""(空)",否,App subdomain in hosted zone,子域名
Deployment,deployment/variables.tf,network_type,string,无,是,private or public subnet deployment,决定 ALB 内外网类型
Deployment,deployment/variables.tf,alb_name,string,null,否,Reuse existing ALB name,已有 ALB 名称（不复用则 null）
Deployment,deployment/variables.tf,alb_additional_allowed_cidrs,list(string),[],否,Additional CIDR IPs for ALB access,ALB 额外白名单
Deployment,deployment/variables.tf,waf_name,string,null,否,WAF name to associate with ALB,WAF Web ACL 名称
Deployment,deployment/variables.tf,containers,map(object({...})),无,是,Container configuration (see below),核心：每个容器一个对象
Deployment,deployment/variables.tf,containers.*.dockerfile_path,string,optional,否,Dockerfile path,构建用
Deployment,deployment/variables.tf,containers.*.container_replicas,number,无,是,Number of container replicas,副本数
Deployment,deployment/variables.tf,containers.*.container_port,number,无,是,Container port,容器端口
Deployment,deployment/variables.tf,containers.*.cpu,number,无,是,CPU units for container,容器 CPU
Deployment,deployment/variables.tf,containers.*.memory,number,无,是,Memory for container (MiB),容器内存
Deployment,deployment/variables.tf,containers.*.gpu,number,optional,否,GPU count,GPU 数量
Deployment,deployment/variables.tf,containers.*.entry_point,list(string),optional,否,Container entry point,ENTRYPOINT 覆盖
